Date;Price;Open;High;Low;Vol.;Change %
01/02/2020;1,528.10;1,521.00;1,534.00;1,519.70;270.55K;0.33%
01/03/2020;1,552.40;1,531.70;1,556.60;1,530.40;436.74K;1.59%
01/06/2020;1,568.80;1,562.70;1,590.90;1,562.30;558.97K;1.06%
01/07/2020;1,574.30;1,567.40;1,579.20;1,557.00;435.87K;0.35%
01/08/2020;1,560.20;1,578.80;1,613.30;1,553.40;813.41K;-0.90%
01/09/2020;1,554.30;1,557.70;1,562.40;1,541.00;372.88K;-0.38%
01/10/2020;1,560.10;1,553.40;1,564.10;1,546.70;344.34K;0.37%
01/13/2020;1,550.60;1,563.00;1,563.10;1,547.00;311.73K;-0.61%
01/14/2020;1,544.60;1,548.60;1,549.50;1,536.40;340.91K;-0.39%
01/15/2020;1,554.00;1,546.80;1,558.80;1,546.50;310.07K;0.61%
01/16/2020;1,550.50;1,556.60;1,558.20;1,548.00;260.05K;-0.23%
01/17/2020;1,560.30;1,553.00;1,561.40;1,549.30;264.93K;0.63%
01/20/2020;1,557.90;1,557.30;1,568.80;1,546.00;462.62K;-0.15%
01/21/2020;1,557.90;1,557.30;1,568.80;1,546.00;462.62K;0.00%
01/22/2020;1,556.70;1,558.90;1,559.80;1,550.00;286.08K;-0.08%
01/23/2020;1,565.40;1,558.90;1,567.50;1,551.30;361.03K;0.56%
01/24/2020;1,571.90;1,562.90;1,575.50;1,555.80;427.14K;0.42%
01/27/2020;1,577.40;1,580.50;1,588.40;1,575.30;398.06K;0.35%
01/28/2020;1,569.80;1,580.60;1,582.20;1,564.60;378.01K;-0.48%
01/29/2020;1,570.40;1,566.30;1,577.70;1,562.00;251.27K;0.04%
01/30/2020;1,589.20;1,576.80;1,585.00;1,571.40;382.60K;1.20%
01/31/2020;1,587.90;1,578.40;1,595.50;1,575.00;343.37K;-0.08%
02/03/2020;1,582.40;1,597.80;1,598.50;1,573.20;320.60K;-0.35%
02/04/2020;1,555.50;1,581.50;1,584.50;1,552.80;349.00K;-1.70%
02/05/2020;1,562.80;1,556.10;1,566.20;1,551.10;306.05K;0.47%
02/06/2020;1,570.00;1,560.00;1,571.90;1,556.00;229.00K;0.46%
02/07/2020;1,573.40;1,570.70;1,577.80;1,563.50;286.42K;0.22%
02/10/2020;1,579.50;1,575.80;1,580.50;1,571.50;191.75K;0.39%
02/11/2020;1,570.10;1,575.50;1,577.50;1,565.20;231.83K;-0.60%
02/12/2020;1,571.60;1,571.20;1,573.60;1,564.40;189.55K;0.10%
02/13/2020;1,578.80;1,569.80;1,581.70;1,568.50;276.25K;0.46%
02/14/2020;1,586.40;1,579.00;1,588.20;1,576.00;227.11K;0.48%
02/17/2020;1,603.60;1,585.10;1,608.20;1,581.80;414.24K;1.08%
02/18/2020;1,603.60;1,585.10;1,608.20;1,581.80;414.24K;0.00%
02/19/2020;1,611.80;1,604.80;1,615.90;1,602.40;307.89K;0.51%
02/20/2020;1,620.50;1,615.00;1,626.50;1,606.60;403.04K;0.54%
02/21/2020;1,648.80;1,623.60;1,652.10;1,621.60;489.19K;1.75%
02/24/2020;1,676.60;1,656.00;1,691.70;1,652.80;680.82K;1.69%
02/25/2020;1,650.00;1,661.80;1,666.70;1,627.00;672.76K;-1.59%
02/26/2020;1,643.10;1,637.30;1,657.10;1,626.60;531.90K;-0.42%
02/27/2020;1,642.50;1,643.00;1,662.50;1,636.70;573.29K;-0.04%
02/28/2020;1,566.70;1,646.10;1,651.00;1,564.00;745.84K;-4.61%
03/02/2020;1,594.80;1,592.80;1,612.10;1,576.30;443.53K;1.79%
03/03/2020;1,644.40;1,586.00;1,650.50;1,585.90;466.53K;3.11%
03/04/2020;1,643.00;1,640.10;1,654.30;1,632.60;313.34K;-0.09%
03/05/2020;1,668.00;1,638.20;1,675.50;1,635.60;363.00K;1.52%
03/06/2020;1,672.40;1,673.10;1,692.80;1,642.40;659.63K;0.26%
03/09/2020;1,675.70;1,692.60;1,704.30;1,658.00;504.16K;0.20%
03/10/2020;1,660.30;1,679.60;1,681.30;1,641.10;385.48K;-0.92%
03/11/2020;1,642.30;1,649.30;1,671.80;1,632.40;404.35K;-1.08%
03/12/2020;1,590.30;1,633.10;1,651.00;1,560.40;605.72K;-3.17%
03/13/2020;1,516.70;1,582.70;1,597.90;1,504.00;551.05K;-4.63%
03/16/2020;1,486.50;1,563.80;1,574.80;1,450.90;565.98K;-1.99%
03/17/2020;1,525.80;1,512.80;1,554.30;1,465.60;434.51K;2.64%
03/18/2020;1,477.90;1,527.60;1,547.00;1,473.30;435.19K;-3.14%
03/19/2020;1,479.30;1,487.20;1,502.80;1,460.10;325.29K;0.09%
03/20/2020;1,484.60;1,471.60;1,519.40;1,457.50;269.97K;0.36%
03/23/2020;1,567.60;1,505.00;1,569.30;1,484.60;362.07K;5.59%
03/24/2020;1,660.80;1,563.80;1,698.00;1,560.50;418.78K;5.95%
03/25/2020;1,633.40;1,666.20;1,699.30;1,615.20;254.19K;-1.65%
03/26/2020;1,651.20;1,642.50;1,672.50;1,611.00;215.97K;1.09%
03/27/2020;1,625.00;1,640.40;1,647.20;1,611.40;159.26K;-1.59%
03/30/2020;1,643.20;1,663.40;1,673.60;1,632.00;157.37K;1.12%
03/31/2020;1,596.60;1,643.40;1,645.60;1,588.20;176.55K;-2.84%
04/01/2020;1,591.40;1,589.40;1,612.40;1,576.00;164.48K;-0.33%
04/02/2020;1,637.70;1,602.40;1,645.60;1,595.20;167.71K;2.91%
04/03/2020;1,645.70;1,635.30;1,652.80;1,624.40;139.61K;0.49%
04/06/2020;1,693.90;1,647.70;1,715.80;1,638.20;192.75K;2.93%
04/07/2020;1,683.70;1,707.10;1,742.60;1,672.00;204.50K;-0.60%
04/08/2020;1,684.30;1,678.70;1,695.80;1,670.70;125.33K;0.04%
04/09/2020;1,752.80;1,680.50;1,754.50;1,676.50;218.80K;4.07%
04/13/2020;1,761.40;1,742.30;1,772.80;1,724.20;166.89K;0.49%
04/14/2020;1,768.90;1,761.50;1,788.80;1,747.10;241.19K;0.43%
